image_hex_string	actual	base_prediction	corrupting_pixels
0x1c000003600000e600001c20000182000031e000023e000067e00007de000073400000300000060000006000000c000000c000001800000180000010000001000000100000000000	9	9	(8, 15);(15, 19);(15, 20);(15, 21);(16, 21)
0x1f000007f80000ff80000e1e0001e0f0001c070001c030003c0380038038001c038001c038001c038001e078000f0f80007ff80001ff80000038000003c000001c00000180000000000000000000000	9	0	(14, 9);(15, 9);(16, 9);(17, 11);(20, 12);(20, 13);(19, 14);(20, 14);(19, 15);(20, 15);(19, 16);(20, 16);(16, 17)
0xe000007f00009ff0000fe30000f070000307000018e00001cc00000d80000078000007000000780000078000007800000c800000c800000cc00000fc000007800000300000000000000000	8	8	(14, 4);(9, 5);(10, 5);(21, 5);(22, 5);(9, 6);(10, 6);(21, 6);(22, 6);(23, 6);(8, 7);(9, 7);(10, 7);(21, 7);(22, 7);(23, 7);(24, 7);(5, 8);(6, 8);(7, 8);(23, 8);(24, 8);(25, 8);(5, 9);(8, 9);(23, 9);(24, 9);(25, 9);(8, 10);(11, 10);(25, 10);(11, 11);(12, 11);(13, 11);(12, 12);(13, 12);(14, 12);(20, 12);(22, 12);(23, 12);(10, 13);(13, 13);(14, 13);(15, 13);(16, 13);(17, 13);(22, 13);(23, 13);(20, 14);(23, 14);(24, 14);(9, 15);(10, 15);(23, 15);(26, 15);(9, 16);(10, 16);(16, 16);(20, 16);(21, 16);(22, 16);(23, 16);(25, 16);(9, 17);(14, 17);(15, 17);(16, 17);(17, 17);(22, 17);(23, 17);(6, 18);(14, 18);(15, 18);(16, 18);(17, 18);(11, 19);(13, 19);(14, 19);(15, 19);(16, 19);(17, 19);(14, 20);(15, 20);(16, 20);(17, 20);(14, 21);(15, 21);(16, 21);(17, 21);(14, 22);(15, 22);(16, 22);(17, 22);(18, 22);(14, 23);(15, 23);(16, 23);(17, 23);(18, 23);(14, 24);(15, 24);(16, 24);(17, 24);(15, 25);(16, 25);(17, 25)
0x7800001fe0000387800070f80006038000603000070f00007bc00003f800003fc0000ffc0001c0f8003801c007000e007000e007801c003c01c001f0380007ff00000f8000000000000000000000000000000	8	8	(15, 3);(16, 3);(20, 3);(21, 3);(22, 3);(15, 4);(16, 4);(17, 4);(22, 4);(23, 4);(13, 5);(14, 5);(15, 5);(21, 5);(22, 5);(23, 5);(24, 5);(5, 6);(6, 6);(7, 6);(13, 6);(14, 6);(15, 6);(16, 6);(17, 6);(18, 6);(19, 6);(21, 6);(23, 6);(24, 6);(5, 7);(6, 7);(7, 7);(13, 7);(14, 7);(15, 7);(16, 7);(17, 7);(18, 7);(19, 7);(22, 7);(23, 7);(24, 7);(5, 8);(6, 8);(7, 8);(15, 8);(16, 8);(22, 8);(23, 8);(5, 9);(6, 9);(9, 9);(10, 9);(11, 9);(15, 9);(5, 10);(8, 10);(9, 10);(10, 10);(11, 10);(12, 10);(10, 11);(11, 11);(12, 11);(11, 12);(6, 13);(7, 13);(8, 13);(9, 13);(7, 14);(8, 14);(10, 15);(9, 16);(11, 17);(10, 18);(16, 22)
0xc000001f000003f800007980000f180001e180001c3800038780003ff00003ff00003ffc000707c000e01c000c03c00180f000381e000307c00037f00003fe00001f00000000000000000000000000000000	8	8	(19, 3);(14, 4);(18, 4);(19, 4);(20, 4);(21, 4);(22, 4);(13, 5);(14, 5);(15, 5);(19, 5);(20, 5);(22, 5);(23, 5);(12, 6);(13, 6);(14, 6);(23, 6);(13, 7);(14, 7);(18, 7);(19, 7);(13, 8);(14, 8);(16, 8);(17, 8);(18, 8);(19, 8);(21, 8);(13, 9);(14, 9);(15, 9);(16, 9);(17, 9);(11, 10);(15, 10);(16, 10);(10, 11);(11, 13);(10, 14);(11, 14);(11, 15);(21, 16);(2, 17);(3, 17);(11, 17);(15, 17);(4, 18);(6, 18);(10, 18);(11, 18);(12, 18);(6, 19);(7, 19);(8, 19);(9, 19);(10, 19);(11, 19);(12, 19);(5, 20);(7, 20);(8, 20);(9, 20);(10, 20);(11, 20);(4, 21);(5, 21);(6, 21);(7, 21);(4, 22);(5, 22);(6, 22);(7, 22);(15, 22);(4, 23);(5, 23);(6, 23);(7, 23);(5, 24);(6, 24);(7, 24);(8, 24);(5, 25);(6, 25)
0x6000001e000001a000003200000260000066000004e00000cc000009c000019800001f000000e000000e000000c000001800000380000070000006000000600000040000000000000000000000000	9	1	(14, 10);(19, 11);(17, 12);(18, 12);(17, 13)
0x6000000f000001d800001980000198000011c000031c000033c000033c00001bc00001fd000007e0000078000007000000f000000e000000e000001c000001c0000008000000000000000000000000	9	9	(7, 13);(7, 15);(8, 15);(8, 16);(16, 19);(15, 20)
0x6000000400000040000004000000400000040f800040d80004188000c188000c108000c318000c330000436000062c000037800003f00000060000006000000600000060000000000000000000000000000000	6	6	(21, 1);(12, 2);(13, 2);(15, 2);(22, 2);(23, 2);(3, 3);(4, 3);(5, 3);(11, 3);(12, 3);(13, 3);(14, 3);(15, 3);(16, 3);(22, 3);(23, 3);(4, 4);(5, 4);(11, 4);(12, 4);(13, 4);(14, 4);(15, 4);(22, 4);(23, 4);(3, 5);(4, 5);(5, 5);(6, 5);(9, 5);(10, 5);(11, 5);(12, 5);(13, 5);(14, 5);(15, 5);(16, 5);(17, 5);(3, 6);(4, 6);(5, 6);(6, 6);(7, 6);(8, 6);(9, 6);(10, 6);(11, 6);(12, 6);(13, 6);(14, 6);(15, 6);(16, 6);(17, 6);(3, 7);(4, 7);(5, 7);(6, 7);(12, 7);(13, 7);(14, 7);(15, 7);(16, 7);(17, 7);(24, 7);(25, 7);(4, 8);(5, 8);(6, 8);(14, 8);(15, 8);(16, 8);(17, 8);(23, 8);(24, 8);(25, 8);(26, 8);(13, 9);(14, 9);(15, 9);(16, 9);(24, 9);(25, 9);(26, 9);(5, 10);(6, 10);(7, 10);(8, 10);(9, 10);(10, 10);(11, 10);(12, 10);(13, 10);(15, 10);(19, 10);(24, 10);(25, 10);(26, 10);(6, 11);(7, 11);(8, 11);(9, 11);(10, 11);(11, 11);(12, 11);(13, 11);(14, 11);(15, 11);(16, 11);(17, 11);(19, 11);(23, 11);(24, 11);(25, 11);(26, 11);(6, 12);(7, 12);(8, 12);(9, 12);(10, 12);(11, 12);(12, 12);(13, 12);(14, 12);(15, 12);(16, 12);(17, 12);(19, 12);(23, 12);(24, 12);(25, 12);(26, 12);(6, 13);(7, 13);(8, 13);(13, 13);(14, 13);(18, 13);(19, 13);(20, 13);(21, 13);(24, 13);(25, 13);(26, 13);(6, 14);(7, 14);(8, 14);(12, 14);(13, 14);(19, 14);(20, 14);(24, 14);(25, 14);(26, 14);(6, 15);(7, 15);(8, 15);(18, 15);(19, 15);(20, 15);(21, 15);(26, 15);(6, 16);(7, 16);(8, 16);(9, 16);(10, 16);(13, 16);(14, 16);(15, 16);(16, 16);(17, 16);(18, 16);(25, 16);(26, 16);(6, 17);(7, 17);(8, 17);(10, 17);(11, 17);(14, 17);(15, 17);(24, 17);(25, 17);(26, 17);(6, 18);(7, 18);(8, 18);(14, 18);(22, 18);(23, 18);(24, 18);(25, 18);(26, 18);(7, 19);(8, 19);(10, 19);(13, 19);(16, 19);(21, 19);(22, 19);(23, 19);(24, 19);(7, 20);(8, 20);(10, 20);(11, 20);(12, 20);(21, 20);(22, 20);(23, 20);(24, 20);(7, 21);(8, 21);(21, 21);(22, 21);(23, 21);(24, 21);(6, 22);(7, 22);(8, 22);(22, 22);(23, 22);(7, 23);(8, 23);(22, 23);(23, 23);(6, 24);(22, 24);(23, 24);(24, 24);(14, 26)
0x1000001fc20003c76000380600018060000f0e00003dc00000fc000003c000003e000003300000718000061800006180000e380000678000067000007f000003e000001c00000000000000000000000	8	8	(19, 8);(19, 9);(19, 10);(16, 13);(17, 13)
0x38000007800000fc000019c000019800003b800003f800001b80000038000003000000300000060000006000000e000001f000003fc0000ffe0000f1f0001e078001c00000000000000000000000000000000	2	1	(16, 4);(16, 5);(8, 8);(9, 8);(8, 9);(9, 9);(17, 9);(8, 10);(16, 10);(17, 10);(18, 10);(16, 11);(17, 11);(16, 12)
0x6000000e000000e800001cc000018c000038c000030c000030c000061e00007fc00003f80000018000001800000380000030000006000000600000060000006000000200000000000000000	4	9	(8, 14);(8, 16);(19, 18);(19, 19)
0x3e000003fe00003fe00007ff80007ff800070180007c180007f000003fc00001fe000003f000001f000000780000038000003c001fffc000fffe0007ffc0003ff8000060000000000000000000000000000000	5	5	(18, 1);(19, 1);(9, 2);(10, 2);(11, 2);(17, 2);(18, 2);(19, 2);(20, 2);(21, 2);(8, 3);(9, 3);(10, 3);(11, 3);(16, 3);(17, 3);(18, 3);(19, 3);(20, 3);(21, 3);(8, 4);(9, 4);(10, 4);(11, 4);(17, 4);(18, 4);(19, 4);(20, 4);(21, 4);(5, 5);(6, 5);(7, 5);(8, 5);(9, 5);(10, 5);(11, 5);(18, 5);(19, 5);(20, 5);(21, 5);(22, 5);(5, 6);(6, 6);(7, 6);(8, 6);(9, 6);(10, 6);(11, 6);(19, 6);(20, 6);(4, 7);(5, 7);(6, 7);(7, 7);(8, 7);(9, 7);(10, 7);(11, 7);(12, 7);(20, 7);(24, 7);(5, 8);(6, 8);(7, 8);(8, 8);(9, 8);(10, 8);(11, 8);(21, 8);(23, 8);(24, 8);(25, 8);(26, 8);(4, 9);(5, 9);(6, 9);(8, 9);(9, 9);(10, 9);(11, 9);(24, 9);(25, 9);(26, 9);(7, 10);(8, 10);(9, 10);(10, 10);(11, 10);(12, 10);(25, 10);(7, 11);(8, 11);(9, 11);(10, 11);(11, 11);(12, 11);(13, 11);(22, 11);(4, 12);(7, 12);(9, 12);(10, 12);(11, 12);(12, 12);(13, 12);(21, 12);(22, 12);(9, 13);(14, 13);(21, 13);(22, 13);(23, 13);(9, 14);(10, 14);(15, 14);(22, 14);(4, 15);(9, 15);(10, 15);(13, 15);(22, 15);(4, 16);(6, 16);(7, 16);(9, 16);(10, 16);(11, 16);(22, 16);(6, 17);(7, 17);(8, 17);(9, 17);(10, 17);(11, 17);(6, 18);(7, 18);(8, 18);(9, 18);(10, 18);(11, 18);(12, 18);(14, 18);(15, 18);(16, 18);(17, 18);(18, 18);(7, 19);(11, 19);(12, 19);(13, 19);(14, 19);(15, 19);(16, 19);(17, 19);(18, 19);(4, 20);(7, 20);(8, 20);(11, 20);(12, 20);(16, 20);(17, 20);(18, 20);(19, 20);(10, 21);(11, 21);(12, 21);(13, 21);(18, 21);(22, 21);(10, 22);(11, 22);(12, 22);(21, 22);(22, 22);(10, 23);(11, 23);(12, 23);(13, 23);(21, 23);(22, 23);(10, 24);(11, 24);(12, 24);(13, 24);(21, 24);(22, 24);(10, 25);(11, 25);(12, 25)
0x2000000e00070fe0003ff800007f000001e000003e000003fc00007ff80002038000000c0000004000000c000000c000001c000003800060380007ff00007fc000010000000000000000000000000	3	3	(10, 4);(11, 4);(10, 5);(11, 5);(12, 5);(18, 5);(8, 6);(11, 6);(12, 6);(17, 6);(18, 6);(19, 6);(8, 7);(10, 7);(11, 7);(12, 7);(17, 7);(18, 7);(19, 7);(20, 7);(8, 8);(11, 8);(16, 8);(17, 8);(18, 8);(19, 8);(20, 8);(8, 9);(11, 9);(12, 9);(16, 9);(17, 9);(18, 9);(19, 9);(20, 9);(8, 10);(10, 10);(17, 10);(18, 10);(19, 10);(20, 10);(17, 11);(18, 11);(19, 11);(18, 12);(10, 13);(8, 14);(9, 14);(10, 14);(11, 14);(8, 15);(9, 15);(5, 19);(6, 19);(7, 19);(5, 20);(6, 20);(7, 20);(5, 21);(6, 21);(7, 21);(5, 22);(6, 22);(7, 22);(4, 23);(5, 23);(6, 23);(7, 23);(5, 24);(6, 24);(7, 24);(5, 25);(6, 25)
0x7000001f000007f80000ef000019b000033300007e300007c600007040000004000000c000001c00000180000030000006000000c0000038000007000000c0000008000000000000000000	9	9	(17, 7);(18, 7);(16, 8);(17, 8);(18, 8);(17, 9);(18, 9);(17, 10);(18, 10);(13, 11);(14, 11);(18, 11);(13, 12);(10, 13);(13, 13)
0x3e000007000000c000000c07000040e000011c000013800001f000001e000001c0000038000007800000f800001f000003b000007f000007e00000fe000007800000300000000000000000000000000000000	8	2	(10, 6);(11, 6);(10, 7);(11, 7);(12, 7);(9, 8);(10, 8);(11, 8);(12, 8);(9, 9);(10, 9);(11, 9);(12, 9);(9, 10);(10, 10);(11, 10);(12, 10);(18, 10);(9, 11);(10, 11);(11, 11);(12, 11);(13, 11);(17, 11);(6, 12);(8, 12);(9, 12);(10, 12);(11, 12);(12, 12);(13, 12);(3, 13);(9, 13);(10, 13);(11, 13);(12, 13);(13, 13);(10, 14);(11, 14);(12, 14);(13, 14);(5, 15)
0x3f000007f80000070000007000000f000000e000003c000003c000007c0000fffe0003fe00001c0000038000007800000f000000e000000c000001c000003800000180000000000000000000000000	7	2	(11, 9);(18, 9);(17, 10);(18, 10);(17, 11);(18, 11)
0x6000000e000000c000000800000188000038c000038e000030600003060000703000070300007070000707800070380003030000387000038e00001fe00000fc00000780000000000000000000000000000000000000	0	6	(7, 8);(8, 8);(9, 8);(6, 12);(18, 12);(8, 13);(9, 13);(10, 13);(20, 13);(7, 14);(8, 14);(9, 14);(10, 14);(20, 14);(6, 15);(7, 15);(8, 15);(9, 15);(10, 15);(6, 16);(10, 16);(14, 17);(15, 17);(9, 19);(10, 19);(12, 21)
0x7f80001ff8000181c000001c000001c00000180000018000001800000180000038000003800003ff00003ff00001f00000070000006000000e000000e000000e000000600000000000000000	7	2	(13, 6);(14, 6);(13, 7);(14, 7);(13, 8);(14, 8);(15, 8);(13, 9);(15, 9);(8, 11);(18, 11);(19, 11);(8, 12);(17, 12);(18, 12);(19, 12);(8, 13);(17, 13);(18, 13);(8, 14);(21, 15);(17, 16);(18, 16);(21, 16);(13, 17);(14, 17);(15, 17);(16, 17);(17, 17);(18, 17);(21, 17);(13, 18);(14, 18);(15, 18);(16, 18);(17, 18);(18, 18);(21, 18);(22, 18);(12, 19);(13, 19);(14, 19);(15, 19);(16, 19);(17, 19);(18, 19);(22, 19);(14, 20);(15, 20);(16, 20);(22, 20)
0xc000003e000007f00001ef00001df00003ff00003ff00000fe000001c000003c000003c00000380000070000007000000e000001e000001c000003c000003c000003800000000000000000	9	9	(9, 9);(9, 10);(12, 12);(13, 12);(12, 13);(13, 13);(12, 14);(13, 14);(9, 15);(13, 15);(15, 21);(15, 22);(16, 22);(16, 23)
0x700000ff80001ff80001ffc0001f1c000030c000078e00007860000307000030f000030f000038b00001fb80000f30000003000000380000038000003800000380000018000000000000000	9	9	(20, 4);(7, 5);(8, 5);(20, 5);(21, 5);(8, 6);(20, 6);(21, 6);(7, 7);(20, 7);(21, 7);(22, 7);(20, 8);(21, 8);(22, 8);(12, 9);(13, 9);(20, 9);(21, 9);(22, 9);(11, 10);(12, 10);(13, 10);(17, 10);(20, 10);(21, 10);(22, 10);(11, 11);(12, 11);(17, 11);(21, 11);(22, 11);(12, 12);(17, 12);(18, 12);(21, 12);(22, 12);(18, 13)
0x7e00001ff00001ff80003ffc0003c3c0003c1e0001ffe0001fff0000fffc000ef9c000e00e000e00e000e00e000e00e000e00e000703e0007ffc0003ffc0003ff800007c00000000000000000000000	8	8	(16, 9);(17, 9);(15, 10)
0xfe00001ff80001c7e000100f000000700000038000003c000001c000001c000ffdc001fffc003e1fc007801c007001c007003c0078078003c0f0000ffe0000ffc00003e0000000000000000000000000000000	2	3	(17, 8);(16, 9);(17, 9);(17, 10);(18, 10);(17, 11);(18, 11);(17, 12);(18, 12);(17, 13);(18, 13);(19, 13);(13, 14);(14, 14);(17, 14);(18, 14);(19, 14);(17, 15);(18, 15);(14, 16);(17, 16);(18, 16);(19, 16);(20, 22)
0x1c000007f00000f1c0000e1c0001e1c0001c3c0001c3c0000e3c0000f7c00003fc00000fc000000c000000e000000e0000007000000700000070000003800000380000018000000000000000	9	9	(7, 12);(7, 13);(7, 14)
0x30000007c00000f400000e600000c000001c000001d800001de00001dc00001fc00001fc00001fc000003c000003c00000180000038000003800000380000038000003000000000000000000000000	9	9	(6, 14);(7, 14);(4, 15);(6, 15);(7, 15);(4, 16);(6, 16);(6, 17);(7, 17);(15, 20);(16, 20);(15, 21);(15, 22);(15, 23)
0x3c000003f000000780000038000003800000700000078000003c000000e0000006000000e000001c0000038000007000000e000001c0000038000003000000e000000c000000000000000000	3	3	(13, 14)
0x1ff00003ff00003ff00001bf00000fe00003f800003e000003e000003f800000fe000001f00000070000003800180380018038001007800180f8001fff0001ffe0000ff0000000000000000000000000000000	3	3	(5, 10);(7, 10);(8, 10);(5, 11);(8, 11);(9, 14);(9, 15);(9, 16);(6, 20);(7, 20);(6, 21);(7, 21);(6, 22);(7, 22);(6, 23);(7, 23);(6, 24);(7, 24)
0xf000000ff000001fe00000ff00001fe00007f00000fc00000fe000007f000001f00000038000003c000001e000000e00000fe00001fe00001fe00000fc00000fc000007000000000000000000000000	3	5	(10, 10);(11, 15);(11, 17);(8, 19)
0xc000003e000007c00000f000000e000000c000001d800001d800001f800000f8000007000000700000070000007000000700000070000007000000700000070000002000000000000000000000000	9	8	(12, 2);(14, 3);(15, 3);(22, 3);(2, 4);(3, 4);(12, 4);(13, 4);(14, 4);(15, 4);(16, 4);(22, 4);(23, 4);(2, 5);(3, 5);(4, 5);(9, 5);(11, 5);(12, 5);(13, 5);(14, 5);(15, 5);(16, 5);(17, 5);(21, 5);(22, 5);(23, 5);(2, 6);(3, 6);(4, 6);(5, 6);(6, 6);(7, 6);(8, 6);(9, 6);(10, 6);(11, 6);(12, 6);(13, 6);(14, 6);(15, 6);(16, 6);(17, 6);(2, 7);(3, 7);(4, 7);(5, 7);(6, 7);(7, 7);(8, 7);(9, 7);(10, 7);(11, 7);(13, 7);(14, 7);(15, 7);(16, 7);(17, 7);(2, 8);(3, 8);(4, 8);(5, 8);(6, 8);(7, 8);(8, 8);(9, 8);(11, 8);(13, 8);(14, 8);(15, 8);(16, 8);(17, 8);(2, 9);(3, 9);(4, 9);(5, 9);(6, 9);(7, 9);(8, 9);(9, 9);(15, 9);(16, 9);(2, 10);(3, 10);(4, 10);(5, 10);(6, 10);(7, 10);(8, 10);(15, 10);(2, 11);(3, 11);(4, 11);(5, 11);(6, 11);(7, 11);(11, 11);(12, 11);(13, 11);(2, 12);(3, 12);(4, 12);(5, 12);(6, 12);(10, 12);(11, 12);(12, 12);(13, 12);(14, 12);(20, 12);(2, 13);(3, 13);(4, 13);(5, 13);(7, 13);(13, 13);(14, 13);(3, 14);(4, 14);(6, 14);(7, 14);(10, 14);(11, 14);(12, 14);(13, 14);(14, 14);(3, 15);(4, 15);(6, 15);(9, 15);(10, 15);(2, 16);(3, 16);(6, 16);(9, 16);(10, 16);(12, 16);(13, 16);(14, 16);(20, 16);(21, 16);(22, 16);(23, 16);(24, 16);(3, 17);(4, 17);(6, 17);(7, 17);(9, 17);(10, 17);(20, 17);(21, 17);(22, 17);(23, 17);(24, 17);(3, 18);(4, 18);(6, 18);(21, 18);(22, 18);(23, 18);(24, 18);(16, 20);(17, 20);(18, 20);(19, 20);(15, 21);(16, 21);(17, 21);(18, 21);(19, 21);(14, 22);(15, 22);(16, 22);(17, 22);(18, 22);(19, 22);(14, 23);(15, 23);(16, 23);(17, 23);(18, 23);(19, 23);(14, 24);(15, 24);(16, 24);(17, 24);(18, 24);(19, 24);(13, 25);(14, 25);(15, 25);(16, 25);(17, 25);(18, 25)
0x180000038c000079c0000e380001c78000387000030e000070c000071c00007f800003f8000007800000f800001d800003b0000077000006600000cc00000fc0000070000000000000000000000000	8	8	(18, 11);(17, 12)
0x3df00003fe000001c0000018000003800000300000060000014000001c000001c000001e0000013000003180000318000030c0000306000038c00001f800000f8000000000000000000000000000000	8	2	(9, 7);(9, 8);(10, 8);(9, 9);(10, 9);(9, 10);(10, 10)
0x7c00003ff00007e780006c000000c000000c00000060000006fc00007ce000078380007018000300c000100c0000006000000c000000c000001c00007f80000ff00000fe00000000000000000000000	5	5	(9, 9);(9, 16);(9, 17);(10, 17);(10, 18);(10, 19);(10, 20)
0x10000003000003f000007c000006000000e000001f000001fc000038c000000c00000060000006000000c000000c0000018000003800000f00003fe00007f800007800000000000000000000000000000000	5	5	(5, 9);(6, 9);(9, 9);(5, 10);(6, 10);(5, 11);(9, 16);(9, 17);(10, 17);(8, 18);(9, 18);(10, 18);(6, 19);(9, 19);(10, 19);(9, 20);(10, 20);(9, 21);(10, 21);(9, 22);(10, 22);(10, 23)
0x18000007c00000fc00001f800007f80000fb800006380000030000003000000300000070000007000000700000070000006000000e38000fff8000ffe00007f800003c0000000000000000000000000000000	1	1	(16, 5);(15, 6);(16, 6);(17, 6);(16, 7);(17, 7);(8, 8);(16, 8);(17, 8);(18, 8);(16, 9);(17, 9);(18, 9);(19, 9);(17, 10);(18, 10);(17, 11);(18, 11);(18, 12)
0x2f000003fe00003f000001000000103800031fe0003fef0003f038007801c003001c000001c000000e000000e0000006000000e000000c000001c000e0f80007ff000007a00000000000000000000000	5	5	(10, 6);(9, 7);(10, 7);(10, 11);(15, 15);(8, 16);(7, 17);(8, 17);(10, 17);(11, 17);(7, 18);(8, 18);(8, 19);(8, 20)
0xe003ffffc000101c000003c000007000001e000003c000007000000e000001c000000c000000000000000000000000000000000000000000000	7	7	(8, 5);(9, 5);(8, 6);(9, 6);(8, 7);(9, 7);(19, 7);(8, 8);(9, 8);(10, 8);(8, 9);(9, 9);(10, 9);(17, 9);(18, 9);(19, 9);(20, 9);(21, 9);(8, 10);(9, 10);(10, 10);(17, 10);(18, 10);(19, 10);(20, 10);(21, 10);(8, 11);(9, 11);(10, 11);(19, 11);(17, 12);(18, 12);(21, 15);(15, 17);(5, 18);(15, 18);(4, 19);(5, 19);(6, 19);(15, 19);(4, 20);(5, 20);(6, 20);(3, 21);(4, 21);(5, 21);(6, 21);(4, 22);(5, 22);(5, 23);(6, 23)
0x4000001e000007c00000f800001e000007c00000f000001e000001c0000038000007fc0000ffe0000fbe0000e0200018060001804000181c0001ff80000ff00000fc00000000000000000000000000000000000000	6	6	(17, 8);(18, 8);(16, 9)
0xe000001f000003980000318000030c000060c000060c000060c000060c000033e00001fe000008600000060000006000000600000060000206000030600001fe000007c000000000000000000000000000000	9	9	(5, 7);(6, 7);(6, 8);(21, 8);(9, 9);(10, 9);(11, 9);(20, 9);(21, 9);(8, 10);(9, 10);(7, 11);(8, 11);(18, 21)
0x5c00003ff8000fffc000ff1c000fc0c000f81c0007c380003f380000ff000007f000003e000003c000007c000007c00000fc00003fc00003f800007f800007f000003c00000000000000000	8	9	(18, 4);(17, 5);(18, 5);(17, 6);(18, 6);(17, 7);(18, 7);(19, 7);(17, 8);(18, 8);(19, 8);(17, 9);(18, 9);(19, 9);(17, 10);(18, 10);(19, 10);(20, 10);(17, 11);(18, 11);(19, 11);(20, 11);(17, 12);(18, 12);(19, 12);(17, 13);(19, 15);(17, 17);(18, 17);(22, 17);(21, 18);(22, 18);(20, 19);(21, 19);(22, 19);(21, 20)
0x3f800003fe00001ff00001c780001c3c0001c1c0c01e1e7800e1ff00047fc0000ff000003c000001c000001e000001e000000e0000006000000000000000000000000000000	7	4	(7, 3);(15, 3);(16, 3);(17, 3);(18, 3);(7, 4);(8, 4);(9, 4);(15, 4);(16, 4);(17, 4);(18, 4);(7, 5);(8, 5);(9, 5);(17, 5);(18, 5);(19, 5);(7, 6);(17, 6);(18, 6);(19, 6);(20, 6);(11, 7);(12, 7);(13, 7);(14, 7);(17, 7);(18, 7);(19, 7);(20, 7);(21, 7);(7, 8);(11, 8);(12, 8);(13, 8);(14, 8);(15, 8);(17, 8);(18, 8);(19, 8);(20, 8);(21, 8);(11, 9);(12, 9);(13, 9);(14, 9);(15, 9);(18, 9);(19, 9);(20, 9);(21, 9);(22, 9);(14, 10);(15, 10);(19, 10);(20, 10);(21, 10);(22, 10);(23, 10);(19, 11);(20, 11);(21, 11);(22, 11);(11, 12);(17, 12);(19, 12);(16, 13);(17, 13);(3, 14);(16, 14);(17, 14);(3, 15);(4, 15);(9, 15);(13, 15);(14, 15);(3, 16);(4, 16);(10, 16);(23, 16);(3, 17);(4, 17);(10, 17);(11, 17);(3, 18);(4, 18);(3, 19);(4, 19);(3, 20);(4, 20);(3, 21);(4, 21)
0x7800000ff00000ff800003fc0000038000003c000003c0000038000007800001fc00003ff00003ff80003ffc0001ff00000e000001e000001e000001e000001e000001c000000000000000000000000	7	7	(13, 2);(14, 2);(15, 2);(16, 2);(17, 2);(18, 2);(19, 2);(13, 3);(14, 3);(15, 3);(16, 3);(17, 3);(18, 3);(19, 3);(16, 4);(17, 4);(18, 4);(19, 4);(16, 5);(17, 5);(18, 5);(19, 5);(20, 5);(17, 6);(18, 6);(19, 6);(20, 6);(18, 7);(19, 7);(20, 7);(7, 8);(18, 8);(19, 8);(20, 8);(21, 8);(7, 9);(17, 9);(18, 9);(19, 9);(20, 9);(21, 9);(22, 9);(7, 10);(15, 10);(18, 10);(19, 10);(20, 10);(21, 10);(22, 10);(4, 11);(7, 11);(8, 11);(19, 11);(23, 11);(24, 11);(4, 12);(6, 12);(7, 12);(8, 12);(22, 12);(23, 12);(24, 12);(3, 13);(4, 13);(5, 13);(7, 13);(8, 13);(16, 13);(18, 13);(19, 13);(20, 13);(21, 13);(2, 14);(3, 14);(4, 14);(5, 14);(7, 14);(8, 14);(9, 14);(10, 14);(11, 14);(12, 14);(13, 14);(14, 14);(17, 14);(18, 14);(19, 14);(20, 14);(21, 14);(24, 14);(2, 15);(3, 15);(4, 15);(5, 15);(7, 15);(8, 15);(10, 15);(11, 15);(13, 15);(14, 15);(18, 15);(22, 15);(23, 15);(24, 15);(2, 16);(3, 16);(4, 16);(5, 16);(6, 16);(7, 16);(8, 16);(9, 16);(10, 16);(11, 16);(12, 16);(13, 16);(14, 16);(23, 16);(24, 16);(3, 17);(4, 17);(5, 17);(8, 17);(10, 17);(11, 17);(14, 17);(23, 17);(3, 18);(4, 18);(5, 18);(15, 18);(3, 19);(4, 19);(5, 19);(15, 19);(18, 20);(19, 20);(4, 21);(16, 21);(18, 21);(19, 21);(16, 22);(17, 22);(18, 22);(19, 22);(20, 22);(9, 23);(17, 23);(18, 23);(19, 23);(9, 24);(17, 24);(18, 24);(19, 24);(9, 25)
0xf000003f000007f80000f380000f1c0000e1c000041c000000e000001e00003ff80007ffc00001e000000e000000c000001c000001c000001c000000c000000c000000c0000000000000000	7	9	(9, 7);(19, 7);(11, 8);(19, 8);(11, 9);(12, 9);(19, 9);(20, 9);(11, 10);(15, 10);(19, 10);(20, 10);(15, 11);(19, 11);(20, 11);(15, 12);(16, 12);(15, 13);(16, 13);(19, 13);(16, 22)
